2024-09-10T10:56:26.408Z info: Server is running on port 5000
2024-09-10T10:56:26.430Z error: Error synchronizing models: 
2024-09-10T10:56:48.781Z info: HTTP POST /api/login
2024-09-10T10:56:48.872Z info: HTTP GET /api/logs
